"icd9"	"icd9_string"	"phewas_code"	"phewas_string"	"exclude_range"	"rollup_bool"	"Ignore_bool"	"sex"	"pregnancy_related"	"category"	"category_string"
"001"	"Cholera"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"001.0"	"Cholera due to Vibrio cholerae"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"001.1"	"Cholera due to Vibrio cholerae el tor"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"001.9"	"Cholera NOS"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"002"	"Typhoid and paratyphoid fevers"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"002.0"	"Typhoid fever"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"002.1"	"Paratyphoid fever A"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"002.2"	"Paratyphoid fever B"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"002.3"	"Paratyphoid fever C"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"002.9"	"Paratyphoid fever NOS"	"008"	"Intestinal infection"	"001-009.99"	1	0	""	0	1	"infectious diseases"
"003"	"Other salmonella infections"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"003.0"	"Salmonella gastroenteritis"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"003.1"	"Salmonella septicemia"	"038.1"	"Gram negative septicemia"	"010-041.99"	1	0	"Both"	0	1	"infectious diseases"
"003.2"	"Localized salmonella infections"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"003.20"	"Localized salmonella infection, unspecified"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"003.21"	"Salmonella meningitis"	320	"Meningitis"	"320-326.9"	1	0	""	0	6	"neurological"
"003.22"	"Salmonella pneumonia"	480.1	"Bacterial pneumonia"	"480-488.99"	1	0	"Both"	0	9	"respiratory"
"003.23"	"Salmonella arthritis"	711	"Arthropathy associated with infections"	"710-716.99"	1	0	""	0	14	"musculoskeletal"
"003.24"	"Salmonella osteomyelitis"	710.1	"Osteomyelitis"	"710-716.99"	1	0	"Both"	0	14	"musculoskeletal"
"003.29"	"Other localized salmonella infections"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"003.8"	"Other specified salmonella infections"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"003.9"	"Salmonella infection NOS"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"004"	"Shigellosis"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"004.0"	"Shigella dysenteriae"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
"004.1"	"Shigella flexneri"	"008.5"	"Bacterial enteritis"	"001-009.99"	1	0	"Both"	0	1	"infectious diseases"
